read_id,alignment_len,M,X,D,I,M_CG,X_CG,D_CG,I_CG,mapq
00417c91-cb24-4bf6-99e5-6fed9d6cfab3,4038,3436,221,238,143,211,21,8,2,60
005c0804-25d2-47eb-9118-fca1ee7b19ef,2219,2099,26,84,10,139,4,3,0,60
008b7b57-76f8-4762-a467-56f6852da36d,953,867,29,30,27,54,2,0,1,60
00ca837a-136c-4e14-bbc6-3080fc19f079,3219,2523,282,246,168,156,17,3,3,60
00f6b323-5b6c-459e-a830-5b2cc392fad7,0,0,0,0,0,0,0,0,0,0
00f740e7-85ce-45ef-9fd8-bf82e0f3eaeb,289,246,14,11,18,17,0,1,0,51
0176b403-e825-460b-92a0-83cb34f4730e,1582,1216,141,145,80,57,8,4,3,60
017d3f42-f1c5-4a9f-855b-c047f7d5c61f,1308,1230,24,34,20,75,2,1,0,60
01b168f8-529d-4ea7-ad82-32a229a62fc2,3668,3295,122,144,107,256,15,10,2,60
01ba6b60-fdc2-4a70-a368-105f7440d494,487,467,5,7,8,28,0,0,0,60
01daa0a3-b734-4e3e-9eb7-8e1109d67757,2229,2102,35,56,36,126,0,5,1,60
02727e31-8d7f-4f40-b096-1fa3882fe4c3,5300,4998,105,137,60,366,8,4,0,60
028b7bbd-56af-4283-9ba2-1e184ed121b6,556,526,7,8,15,39,2,0,0,60
02bc5072-2303-4f84-ae4f-ae0ef6e8e50e,598,559,15,10,14,52,0,0,0,60
02be5c23-0477-4afb-a2ff-9820fc2c27d1,397,335,23,20,19,3,1,2,0,60
02ce440b-f00d-4ff1-9c2b-a8c2de431f4d,888,802,29,38,19,48,1,3,2,60
030a8c85-5972-41fc-8992-15fedd620ac1,4395,4171,79,100,45,284,3,2,2,60
0366fe78-0307-4b9b-8d54-463ab8c587c9,0,0,0,0,0,0,0,0,0,0
0379a697-4d45-4f38-aa43-45100d911008,2449,2229,70,98,52,165,5,3,1,60
03cbd2cb-3b3f-4ebf-afd6-378ad8c9a272,1629,1354,121,77,77,49,7,1,1,60
03d33d27-ac33-4924-bb5f-b43233684dff,2554,2386,45,76,47,157,0,0,0,60
04a6e913-4f31-4192-8c89-a60da3240320,758,639,51,41,27,28,6,2,0,60
04d2dd51-d0bd-4028-b987-2d09f384fbe7,1428,1359,21,34,14,107,2,0,0,60
04e0a272-d4f3-4668-a9d2-c04274c02c24,3011,2621,119,150,121,151,15,9,1,60
0568e9c4-e089-4689-88aa-ae59462d2b92,1881,1766,31,60,24,122,3,1,0,60
05df0526-3bdf-4405-836e-c52de6328cb4,1123,1053,25,27,18,55,4,0,0,60
05fd8e51-6b6c-4618-b5f9-9ceabd2d082b,10036,9572,150,161,153,597,6,4,2,60
06443d80-aa08-4618-a1af-fdd5ab91f59e,1605,1474,52,42,37,89,3,0,0,60
064be1b7-ccf5-4fa6-bb88-91bd1794100d,0,0,0,0,0,0,0,0,0,0
0692428b-c48d-4577-a8f5-3acdee40a072,1419,1224,75,62,58,90,7,2,0,60
06e17a9f-12f8-48c7-bb5a-b1ef60e1dca3,1290,1174,48,50,18,89,2,0,2,60
06fbadb2-3f91-4948-a53f-7b83fd432970,1924,1793,50,58,23,125,2,1,0,60
0740ae9e-2996-4f84-9933-119831d1d736,4561,4327,64,114,56,240,1,4,0,60
0755063e-8f5d-492e-bfd4-8651a01d6227,2112,1804,104,121,83,74,9,13,2,60
07595362-1e8e-4a3d-854a-4169e73490d3,577,533,21,16,7,31,2,1,0,60
07e09f53-07f5-4cb9-abe3-33cc41a9045b,1022,935,33,26,28,43,3,3,0,60
08455f4f-8c61-47d2-a2a4-2b518503bd65,1118,1065,15,20,18,18,1,0,0,60
0860b9d6-910e-4a7d-acf2-d89538d96078,2543,2398,51,43,51,44,1,4,1,60
08874958-1c60-41bd-8fee-63c84572c715,1105,979,42,60,24,57,2,0,0,60
0890ca5f-bfb5-4c6d-8d1b-b598bac50992,1077,1013,25,27,12,101,3,1,0,60
0892395b-2493-4342-b29d-3fe40d0cdd91,34481,31917,862,971,731,2127,106,65,10,60
08a1ffaf-184c-4496-888f-0176f16f7668,2951,2824,47,47,33,214,7,1,1,60
08c4c7f9-f402-4656-9083-7ca5c0a16292,581,549,8,10,14,53,1,1,0,60
08fc3f05-a223-4723-9408-191741762416,1702,1549,48,63,42,108,5,2,2,60
0902da4e-ace1-4e3c-bcd9-2b29d27e59f0,9691,9020,231,262,178,608,20,9,2,60
090fe188-8b8f-4322-9484-f7f5575e1111,4107,3846,93,123,45,206,2,3,0,60
09379f49-0016-47e1-84ad-29ad46216246,1218,1014,82,76,46,52,5,1,0,60
09404a2c-886b-4cb0-9b1d-8218a46ccd5d,3371,3084,110,97,80,180,11,4,0,60
0948ed6f-2f7d-4a82-a741-7898e51ebf9d,437,392,19,21,5,27,3,2,0,60
09656c00-bfd0-4724-b65a-7fa75379a45b,2921,2768,53,68,32,151,8,2,0,60
0983b2d0-850b-4546-96b7-02542265dc86,1356,1208,52,60,36,43,2,1,0,60
098ce5f5-26d2-4739-92aa-6de808448c61,2327,2198,39,58,32,134,5,3,0,60
09b8e4f8-2d32-46fe-8e16-f9453fefd808,1612,1235,159,139,79,38,19,5,1,60
09bceb04-dc9d-4c00-9693-233e98385cdf,2480,2114,130,154,82,161,14,7,2,60
0a1c4f2e-d3cd-4ca6-a7c4-91ac7636b18f,2410,2216,66,89,39,133,4,1,2,60
0a1e4cd7-2fa7-41a8-8900-aef2126135ac,1551,1412,45,52,42,125,5,2,1,60
0a22f9c9-2b27-4642-b344-d6433a937e4a,2023,1952,23,33,15,35,2,1,0,60
0a26c625-a32e-43c2-9465-c823d66e3928,1544,1359,101,49,35,61,9,0,0,60
0a53f172-d89c-4953-a792-51066969b7f1,2348,2101,101,90,56,131,6,1,0,60
0b31b7c2-3e59-4991-a780-4a2363a4dd06,0,0,0,0,0,0,0,0,0,0
0b334215-dbd4-4ba9-8efc-082f75688c1d,712,681,12,15,4,53,0,2,1,60
0b68ac58-08c3-4f44-ac40-a82a8fdc777d,642,570,27,21,24,32,2,1,0,60
0bb46dcd-1e71-437e-8bbe-d03a0a00fc66,791,737,14,24,16,64,1,1,0,60
0c21c2e5-cb50-477f-aabc-50c847dd1616,548,488,27,19,14,12,1,1,0,60
