read_id,alignment_len,M,X,D,I,M_CG,X_CG,D_CG,I_CG,mapq
0032b710-1df3-489c-9aac-b7e5c99aab50,5801,5621,54,80,46,334,2,0,1,60
00d3e889-f989-4979-85ba-db679e3d61d9,0,0,0,0,0,0,0,0,0,0
01d56d5f-43c3-4210-9461-174c89d3fa6e,1555,1249,56,210,40,31,2,0,0,60
02014427-05c3-4421-9f84-7a3960ba98d4,1544,1482,26,17,19,110,1,0,1,60
02266f0c-21ba-46c0-b143-7f6a87e93fcc,4773,4468,116,107,82,319,3,1,0,60
0289f810-76f4-49f9-b96f-e3740a74751b,407,367,7,25,8,26,1,0,0,60
02fa1576-9e17-4835-95a6-53166f6aa236,931,920,3,4,4,16,2,0,0,60
030bb1f2-5202-4453-ace4-96fa7b265379,2546,2362,65,77,42,190,0,2,2,60
03127374-dcf9-41a7-8d9e-0a15d8167116,449,404,18,22,5,30,0,0,0,60
031a4f7e-afda-4c5d-bd06-08d85fa65b58,4092,3855,88,78,71,227,1,0,0,60
0325655f-2d1a-4b1e-9f4a-1170a8137b5d,1483,1364,64,33,22,90,10,1,0,60
03bb9eff-0de9-46fc-b2fb-f4ddcb0c73f9,1297,1193,56,31,17,79,5,1,0,60
0418b7a4-f4b5-4afa-af14-0365dd01fcd0,21175,20616,146,252,161,1422,3,6,1,60
04520ead-18c0-484a-89ee-1f45e75f737d,708,673,15,14,6,41,1,1,0,60
0484b269-3610-48ee-8ac0-fbc4b831719a,1112,1075,14,12,11,81,0,0,0,60
04dbe21c-99e6-4f2c-acb3-6de6740b7d36,4417,4257,60,66,34,318,5,2,2,60
055761c6-5ea4-4de8-ac40-326eafa41d75,2650,2515,50,55,30,183,1,2,0,60
057cf8a1-98a7-487f-9e5b-353ba3ee95cf,1271,1216,20,20,15,89,3,0,2,60
058e8940-bca0-47cc-836b-91ad0f4e2ce3,4410,4244,56,68,42,305,8,4,0,60
05fea5b1-ee7e-4d6a-b977-3dd8389fba6c,736,713,9,8,6,18,3,0,0,60
06045682-ce54-4dae-adf5-d675a4dfd86d,832,783,22,16,11,30,3,0,1,60
0606bae5-65d4-44e3-891c-2d9e408b8230,941,898,11,29,3,72,0,1,0,60
06a41a69-04ab-4039-82f3-5da61e837b3f,794,771,6,10,7,32,0,0,0,60
072f780c-a42f-4ed2-b733-bb9cb52f9e11,1924,1782,66,46,30,146,9,1,0,60
0740b324-7a2c-4060-8809-d73af9bfe285,1592,1554,16,9,13,135,2,0,0,60
07618c34-6f28-454b-80ef-089ea93c2bfc,422,405,5,11,1,41,0,0,0,60
07651175-8aae-423f-91e5-a9711dc6914d,1143,1081,27,19,16,57,1,0,1,60
