read_id,r_st,r_en,q_st,q_en,r_CG_num,q_CG_num,cigar_str
0032b710-1df3-489c-9aac-b7e5c99aab50,3768609,3774364,27,5748,346,351,339M2D7M1D90M1D14M1D1M2D98M1D152M1D23M1D10M2I25M1I61M1I10M1I50M1I16M1I50M3I5M2D2M1D38M1D38M1I228M2I45M1I305M1D157M1D18M2D508M2D65M1I71M1D45M2D93M1I28M2I2M1I4M2I71M1D27M2I9M2D72M1D23M1D18M2D16M1D30M2D2M1D1M2D1M2D86M1D81M1I41M1I34M1I36M1D152M1I1M2D23M1I43M2D10M1D79M1D29M1D37M1I65M1D12M1I21M1D118M2D3M1I48M1I42M2I205M1I8M1I236M2D6M1D88M2D38M1D2M1D237M1D83M2D34M1D40M1D10M1I78M3D3M2I13M2D61M1I56M2I134M4D4M1D145M1D134M3I68M1D24M1I39M1D25M3D50M1D25M
00d3e889-f989-4979-85ba-db679e3d61d9,,,,,0,0,
01d56d5f-43c3-4210-9461-174c89d3fa6e,1215408,1216923,22,1367,44,44,9M2D28M1D16M4I8M5I13M1D15M2D9M1I16M7D13M8D16M3D4M2I6M3D4M4D5M5D9M3D4M1D1M1D24M1D21M2I22M2D82M1I3M1D9M5D31M1D4M1D19M1D25M1I54M1D35M1I3M2D12M2D4M1I24M1D17M1D46M4D30M2I51M2D51M4D22M2I5M1D1M2I4M2I11M4D27M3I2M1I63M1D5M1I16M3D45M1I7M1I3M4D4M86D5M1D20M3D92M3D1M1I20M19D1M2D10M4D31M1D21M1D35M3D13M1D1M2I22M3D49M1I5M3I21M
02014427-05c3-4421-9f84-7a3960ba98d4,837486,839011,28,1555,117,118,34M1D36M1I74M2I24M2D29M1D57M1D35M2I3M1D24M2D277M2I10M1D121M1I10M1I12M2I51M1I46M1I28M1D6M1D94M1I56M1I73M2I82M1D63M1D4M1D24M1D4M1I84M1D1M1D109M1I37M
02266f0c-21ba-46c0-b143-7f6a87e93fcc,3055992,3060683,43,4709,346,352,10M3I29M1I51M1D32M1I5M1D67M1D1M2D7M2D38M2I20M1I25M1D9M1I7M1I6M1D16M2D33M1D25M1D34M1D10M1I8M4I116M2D17M1I1M1I5M1I24M1D2M2D26M1D123M1I31M1I6M2D10M2D25M1D29M1I3M1D15M1I28M1I5M1I34M1I34M1I13M1D108M1D13M1D4M1D44M1D128M1I190M2D2M1D39M2I2M1I10M2I26M2I27M1D29M1D31M2I54M1D37M3I9M1I3M2I26M1I41M1D1M2I55M1D104M4D4M3D111M1D25M1I31M3D5M1I224M1D75M1D16M1I62M2D82M1D22M1D11M1D21M3I55M1D63M1D113M1D9M2D58M2D36M1I1M2D76M2D7M1D10M1I19M2I1M1I29M1I55M1I100M1I23M3D11M1D2M1I8M2D3M1D44M1I51M1I58M1D11M1D56M1D9M3D8M2D22M1D87M2I63M1D5M2D2M1I21M1I56M2I34M1I91M2I11M1I3M1D21M1D19M1D80M2D31M1I83M2I76M1I47M3D15M1D47M6D11M3D22M6I1M1D168M
0289f810-76f4-49f9-b96f-e3740a74751b,3234385,3234784,10,392,30,28,49M4D2M1I50M1D15M1D23M1I20M4D3M2D8M1I21M2I5M1D40M2I17M1D23M6D32M5D7M1I59M
02fa1576-9e17-4835-95a6-53166f6aa236,2993111,2994038,32,959,18,16,351M2I1M1I23M1I306M1D138M2D16M1D88M
030bb1f2-5202-4453-ace4-96fa7b265379,1356379,1358883,25,2494,213,212,19M2D54M1D94M3D23M3D9M2I7M1D10M1I38M1I6M2I2M1D20M1D110M1I7M1I16M2I108M1D166M1D36M1I179M1I49M2D83M3D10M3D35M1D97M1I4M1I34M1I2M1I50M1D3M2D3M1D28M4I30M2D24M2D9M1D21M1D112M1D31M1D1M1D4M1D123M1D18M1I2M2D2M2D94M2I16M1I13M2D2M1D5M1I17M2D9M2D13M1D14M1D15M1D31M1D2M3I25M1D9M1I17M2D9M1D2M3D2M1D14M1I7M2D2M1I31M1I33M3D11M1D15M2D21M1D60M2I28M1D37M1D9M1I14M2I31M1D10M2I15M1I11M1D16M2I6M1D50M2D32M
03127374-dcf9-41a7-8d9e-0a15d8167116,3095329,3095773,28,455,36,33,115M1D25M1I40M2D3M1I59M3D11M2I6M1D13M1D2M3D3M2D1M1D8M1D5M2D2M1D19M1D29M2D11M1D52M1I18M
031a4f7e-afda-4c5d-bd06-08d85fa65b58,2453487,2457508,21,4035,250,245,4M1I6M2I59M2D10M1D69M1D77M2D30M2I30M1D4M1I15M2I3M1D15M1I21M5D6M1I37M1I28M1D10M2I1M1I5M2I3M1D47M3I23M1D19M2I9M1D21M2D196M2I25M2D145M4I15M1D51M2I9M2I216M2I26M1I20M1I21M1D6M1D15M2D2M1I68M1D54M2D9M1D33M1I99M1D5M3D2M1D33M2D25M1I4M1I30M1D47M1I16M1D135M2I35M1I37M1D11M1I14M1I53M2I39M1I11M1D11M1D123M1I43M1D37M1D4M1D61M1D59M1D31M1D10M3D55M2D53M1I107M1D124M1D16M3D25M1D64M2I151M1D10M4I5M2D4M1D65M1I4M1D48M1D54M1D24M3D5M1D43M1I68M1D42M1D62M1D56M1I6M1I79M2I16M1I39M1D80M2I10M1I6M1D70M2I26M2I65M1I12M3D11M
0325655f-2d1a-4b1e-9f4a-1170a8137b5d,3094840,3096301,27,1477,107,109,165M1D17M2D29M1I87M1I64M2D105M1D28M1D50M1D64M1D5M1D67M1D7M1D26M1I6M2I15M1I42M1D23M2D12M1I64M3D1M1I39M2D24M1I45M1I44M1D6M2D31M1D7M2D32M1I13M1D26M1I58M1D3M1I22M2I63M4I2M3I11M1D104M4D21M
03bb9eff-0de9-46fc-b2fb-f4ddcb0c73f9,258696,259976,27,1293,92,85,57M2D9M1D33M3D9M3I45M1D3M1D31M1D3M1I62M1D49M1D7M1I109M1D12M1I51M3D37M4D5M1I29M1I19M1D6M1D7M1D8M1D44M1I6M1I39M1D7M1I26M1I40M1D161M1D35M3D48M1D11M1I1M1I68M1I48M1I23M1I92M1D9M
0418b7a4-f4b5-4afa-af14-0365dd01fcd0,3888719,3909733,36,20959,1470,1461,76M1D33M1D9M1D55M2I22M2I142M1D63M1I2M3D42M1I109M1I4M5D1M1D19M1I67M1D4M2D46M2D97M1D179M1I96M2I29M1D57M2I33M2D174M1D105M1I325M1D201M1D7M1I9M1D108M2D62M3I1M1I466M2I135M1D250M1D31M3D1M1D30M4D55M1D13M1D22M2D125M1I2M2D41M1D55M1D51M1D301M1D228M1D130M1I35M4D13M2I2M1D2M1I143M1D15M2D124M1I22M1D82M1D415M1D169M1I137M2D1M1D3M2I20M1D23M1I31M1D79M1D16M1D9M2D7M2D54M3I27M1I122M1I36M1D40M1I83M1D81M1I5M2D221M1I61M2I44M1I2M3I70M1I119M1I8M1I30M2D74M1I51M1D27M2D51M1D14M2D24M2D95M3I2M1I22M3I174M3D38M2I101M1D66M1I35M2D73M1D59M1D31M1I6M2D25M2D12M1I125M1D1M3D180M1I59M1D7M1I43M1I210M3I142M1D21M1D211M1I58M2D34M1D59M1I27M1D16M2D212M2I2M1D3M1I9M1D7M1D378M1I73M1D222M3D64M1D72M1D225M1I37M2I51M1D22M1I182M1D4M1D107M1I21M1D189M1D114M1D27M1D191M2I106M1D20M1I35M1D6M1D18M1D541M1D54M2I44M1D58M2I292M2D47M2I15M2D89M2I1M1I167M1D19M1D2M1D309M2D21M4D5M1D37M2D41M1D168M1I53M1I182M2D193M1D65M1D48M1I143M1D84M2D63M1D20M1D19M1I64M2D3M1D23M2D2M1D56M3D153M2D22M2D396M1D5M2D71M1D76M3I30M1D36M1D162M2D46M1I2M2D55M2D48M1D3M1D126M3I15M3D44M1D2M1D102M1D1M4I1M2D13M1D2M2I92M2I3M1I157M2D42M1I81M3D8M1I12M1D103M1D14M1D176M2I30M1I117M1I9M1D59M1D41M1D76M1I1M2D28M1D85M2I52M1I27M1I57M1D58M4D10M1D28M2D14M2I7M1I16M1I94M1I2M2D262M1I9M3I3M1D7M1I73M2D30M1D7M3D16M4D100M1D14M1D15M2I23M1I2M2D51M1D1M2I24M1D21M1I61M1I25M2I7M1D51M1I90M3I94M1I31M1I144M2D10M3I8M4I508M2D2M1D165M1D431M1D231M1D69M1I73M1D32M1D41M3I57M1D504M2I61M1I168M1D24M1I62M1D177M1D93M2D13M
04520ead-18c0-484a-89ee-1f45e75f737d,55604,56306,25,719,44,47,42M2D125M1D22M1D51M1D12M2I116M1D27M1I94M1D4M3D3M2D54M1D23M2I64M1I32M1D19M
0484b269-3610-48ee-8ac0-fbc4b831719a,2807256,2808357,25,1125,83,82,8M1D27M2D19M1I32M1D5M1D81M1D133M2D2M1I62M3D81M1I71M2I155M3I67M2I32M1D126M1I188M
04dbe21c-99e6-4f2c-acb3-6de6740b7d36,1894062,1898445,43,4394,336,343,249M2D9M1I41M1D3M1D473M1D19M1I78M1I217M1I106M1I42M1D4M2D18M1I53M1D3M2I5M3D156M1D56M1D96M1I87M2I14M1D27M2D61M1D110M1D61M1I1M2D155M1I3M2D7M2D35M2D71M1D18M2I9M2D1M1I84M2D33M2D3M2I126M1D43M1I37M3D89M1I60M1D4M1D20M1D123M1I85M1D141M2I5M1D5M1D9M1D2M1D20M1I38M1I77M1I166M1D1M2D52M2D3M1I124M1I18M2D97M1D28M1D133M1D2M1D27M2I97M3I67M3D13M1D12M1D42M1D2M1D43M2D77M1I21M
055761c6-5ea4-4de8-ac40-326eafa41d75,3864785,3867405,31,2626,193,193,126M2D3M1D42M1D218M1I7M1D46M1D128M1I7M1I92M1I5M1I8M3I142M2I12M1D38M2D134M1I218M1I39M1D70M1D112M2D1M1D49M1D79M1I17M3I28M1I4M1D7M1D24M1D4M1D7M3D2M1I2M3D8M1I4M1D2M1D7M3D4M1I3M1I5M1D9M1D49M2D70M1D14M2D1M1D4M1D104M1D33M3D55M1I43M2D8M1D71M1I36M2D90M1D31M1I23M1D23M2I27M3D3M1I52M1D63M2I26M1D4M1I22M
057cf8a1-98a7-487f-9e5b-353ba3ee95cf,3019864,3021120,27,1278,97,98,50M2I34M1D1M1D2M1I70M1I38M1D11M1I50M2I11M3D79M1D20M3D75M1D3M1D19M1D147M1I15M1D1M1D36M2I113M1D59M1I99M1I38M1D19M1D76M1D40M1I115M2I10M1D5M
058e8940-bca0-47cc-836b-91ad0f4e2ce3,537592,541960,27,4369,324,325,33M1D31M4D28M1D93M2I133M2D32M2D22M3D85M2D16M3I2M1D14M1D163M1D37M1D63M4D59M4D230M1D50M1I21M1D167M1I85M1I5M1I19M3I61M2D41M1D14M1D60M1I25M3I27M3I136M1D27M2D105M1I11M1I326M4I10M1I33M2I158M1D43M1I16M1D183M1D25M1D80M2D40M1I2M1D47M1I20M2D3M1I97M1I102M1I63M1D53M1I83M1D12M1D58M4D37M4D333M3D224M2D4M1I44M2D13M1I69M1I117M1D3M2D68M2D28M4I11M
05fea5b1-ee7e-4d6a-b977-3dd8389fba6c,3651249,3651979,28,756,21,19,159M1D25M2I161M2I49M1I13M1D7M1D73M1D5M1D38M1D70M2D31M1I91M
06045682-ce54-4dae-adf5-d675a4dfd86d,84138,84959,695,1511,34,34,90M1I31M1D67M3D141M1D4M2D115M1I63M1D65M1I155M1D10M1D11M1I4M1I4M1I1M2I10M3I4M4D4M2D26M
0606bae5-65d4-44e3-891c-2d9e408b8230,3415257,3416195,28,940,74,75,11M1I3M2D9M1D15M2D4M3D57M1D28M1D75M1D8M2D20M2D153M1I94M1I174M1D7M1D23M3D14M7D3M1D129M1D82M
06a41a69-04ab-4039-82f3-5da61e837b3f,1861015,1861802,27,811,34,34,21M1I9M1D155M1D57M2D39M3D3M1I36M1I121M1I121M1D18M1D44M2I11M1D135M1I7M
072f780c-a42f-4ed2-b733-bb9cb52f9e11,1058575,1060469,49,1927,164,160,131M1D56M1I62M1D24M1D7M2D11M1D6M2I32M2D43M2I11M1D4M1D4M3D56M1D124M1I44M2I44M1D60M1I6M1I99M1D33M2I28M1D30M2D23M1I18M1I16M1D3M2D11M2I3M2D3M1D53M3D8M1I4M1D41M2D43M1D1M1D21M2D16M2D1M1D72M1I50M1I15M1I7M1D4M1D11M2D20M2D101M1I55M1I38M2I110M1D92M1I25M2I1M1I48M1D8M2I11M
0740b324-7a2c-4060-8809-d73af9bfe285,3790304,3791883,31,1614,140,138,105M1D137M2I60M1I291M1D5M1D42M1I396M3I31M2I134M1D24M1I52M1D166M2I14M1D10M1D28M1D4M1D61M1I10M
07618c34-6f28-454b-80ef-089ea93c2bfc,2824931,2825352,28,439,43,42,32M2D35M1D77M1D62M1D36M4D21M1D42M1I89M1D16M
07651175-8aae-423f-91e5-a9711dc6914d,4358004,4359131,27,1151,62,66,86M3D55M1I19M3D3M3D14M1I137M2D2M1I8M1D2M3I8M2D231M1D13M1I7M1I35M2I13M2I3M1I62M1I47M1I132M1I24M2D93M1D52M1D62M
076c045a-dcb3-4219-9f61-c3a98f60eff9,2852189,2853245,22,1036,105,113,19M1I4M2D6M2D12M3D8M1I8M1I3M1I1M1I8M2D8M2I13M3I3M1I13M1D2M1I3M1D8M1D6M1D16M2D4M2D20M1I2M2I8M1I6M1D4M2D3M2I36M1D11M3D18M1D49M1I8M1I8M4D1M1D11M2I8M1I15M1D9M1I3M5I6M5D6M1I19M2D7M2I4M7D11M1D5M3D1M1I10M1I13M2I17M1I3M1I4M1I19M4D14M1I14M2I3M1D13M1D2M2I14M1I2M2I16M1D7M2I1M1I2M2D10M1D23M1D19M1I21M1I18M3D32M1D3M2D6M3D16M1D4M1D3M2D6M2I10M1I3M3D6M1D9M1D19M3D2M2D12M4D5M2D5M1D4M1I4M1D4M1I7M2I17M1I4M3D9M2I25M1D6M1D14M3D5M2D2M1D11M2D30M
077bbe1d-1566-44a6-9d87-0015cd26be77,1386686,1391416,34,4746,351,352,27M1I21M1D9M1I17M2I6M1D47M1D47M2D22M2D28M1I56M2I80M1D71M2D230M1D75M1I99M2D85M1D154M1I12M1I74M1I8M1I19M1D14M2I185M1D41M1D128M1I3M1D18M1I109M1D287M1D17M1I26M2D40M1I96M1D44M3D83M1D16M2D32M1I41M1D52M3D26M1D66M1D84M1I7M1I25M1I58M1I5M1D55M1D21M1I18M2I90M3D82M1D33M2I87M1D95M1D10M1I2M1I20M1D138M1D27M1I51M1I187M1D156M1I74M2I32M1I95M1D1M1D6M1D15M1I27M1D38M1D56M1D20M1I58M2D56M2D103M1D55M1I86M1D7M2I2M1D5M2D153M2I18M
07f5041e-09da-40ff-89bd-2d350744850b,1393905,1399001,37,5075,314,305,15M1D10M1D70M1D39M1I87M3D8M1I6M1D38M1D8M4D35M2D34M2D2M1I62M1I38M1D4M2D6M2D12M1I70M1D4M3D18M1I18M1D6M1D18M2D49M2D5M1D67M1D38M1I5M1D12M2D2M1I33M1I9M1I77M1D11M2D25M1I12M1D6M1D20M2I37M3I59M1D11M1I32M3I50M2I2M2I4M3I20M2D13M2I13M2I3M4D7M1D32M1D16M1D9M3D67M1I5M1I1M2D2M5D21M1D46M1I34M1I21M1D40M2I3M1D56M1I23M2I23M1I64M3I16M1I15M2D6M1I1M2I1M1I31M3I45M1I21M2D8M2I37M1I77M1D17M1D15M1I7M1D7M2I7M1D42M2D3M3D14M1I12M2I14M1I7M1I77M1I21M1D42M3I2M2D20M3D15M1D9M3I100M2I11M1D17M1D12M1I22M1I28M1D12M1I49M1I30M1I6M1I5M1D64M2I2M1D5M1D4M1D21M1D2M1D32M1I3M4D26M3D43M1D17M2I1M1D3M1I8M1I22M2I3M1D1M1D2M1D11M1I3M1D9M1I12M1D11M1I2M2D17M1I33M1D26M2D5M2I13M1D20M1D18M1D14M1D12M1D10M1I4M1I52M1I4M1D37M1D13M1D10M1D8M1D7M1D5M3D12M1D39M1D3M1D4M1D11M1D1M2D85M1I10M3D19M1I40M2D21M1I27M1I38M1D33M1D5M1D28M1I16M3I3M4D11M1D45M1D20M1D31M1I48M1I2M1I13M5D13M1D4M1D9M1I9M1D13M1I13M1D4M2I19M1D7M1D3M1D8M1D7M1I25M3D48M1D1M2I32M1D14M2D33M3I4M4D18M2I40M1I2M4D11M1D10M5I14M1D3M1I12M4I5M1D2M5D10M3I19M1D12M1I5M2I10M2D2M1D12M1I4M1D3M1D2M1D3M1D13M2D15M1D32M1D6M1D22M1D21M2D5M1I23M1D28M1D35M1D14M1I5M1D12M1I17M1D21M3I2M1D6M1I2M1I6M1I10M1D37M1D40M1I8M1D7M1I6M1D30M1D59M2I4M3I44M1D12M1D33M1I13M1I23M1I10M1I5M2D3M1D32M
084cbe31-83f1-4b40-94a5-b69b6d19d91d,1347914,1350073,21,2174,156,159,5M1I28M1I65M1D175M1D212M1D96M1I80M1D6M2D216M1D88M1D28M1D31M2I7M1I15M1I94M2D10M1D135M1I7M1D61M2D74M1D14M1I8M1D125M1D40M2D162M4I15M1I71M3I110M2D52M1D23M2D42M3I19M1D19M
08560c47-45ca-405d-8d62-5ca3ba690cd1,2071397,2074381,25,2995,210,215,72M4D1M1D50M1D11M1I51M1D9M1I12M1I41M2I18M1I309M1D236M2D3M1I21M1I5M2I43M3I39M2I50M1D46M1D70M1D100M1D324M1D162M1I119M2D18M1D55M2D52M1I14M2D95M1D27M1I156M2D69M1I6M1D10M1D275M2D73M1I48M3D97M2I11M1D128M1D8M2D14M
